id,session_id,user_id,ip_address,user_agent,device_type,browser,location,is_active,last_activity,created_at
1,WE58ADcCp3QWpjqhhh5REI6lhboVA5Vyjt-2URKY9a8,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 04:38:54.698868,2026-05-07 04:38:54.698940
2,fMC1js6RixxW8aWoL13fCVStlNs_n_V-jLAD734fgac,8,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 04:50:59.943988,2026-05-07 04:50:59.943999
3,0pQm1X075QgFIr-hKp_wSSOEoZeK1RCQOkLs7T2xOgU,2,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 04:54:08.133138,2026-05-07 04:54:08.133150
4,ALZvg_JyTzsL-FM89Sy0yNFC_i7pfiaPJYhqTuyz768,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,0,2026-05-07 04:55:16.201232,2026-05-07 04:55:16.201239
5,hmiXR-1XKu2qv9X08kgdH1ycHUUY342NYYH_KgpEAeI,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:02:51.122738,2026-05-07 06:02:51.122750
6,KNgn1ABmcql5ZzqvhlSD5GC00aRfaEJAbjduimusEZM,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:03:23.962805,2026-05-07 06:03:23.962811
7,69wcocGJsNwbLohe-sNF5VMVlh-FdDoXLTQwxGoEzT8,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:08:49.592863,2026-05-07 06:08:49.592872
8,LWtO96tLGmdUi6HVLl3Al9kgMxY8__eCbAL_tacm0Go,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:13:21.429224,2026-05-07 06:13:21.429230
9,LSwUB4EloZ6bd09VccleH-50fUssx2fWoItlHKIWF1k,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:16:05.639961,2026-05-07 06:16:05.639966
10,eQ67VYLvWHbdkbmJSd0mQPVSCQC5e3JehIZHMz6w9GI,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:16:29.034167,2026-05-07 06:16:29.034171
11,jOt4Il2ZqBB4wZBMm95bAvkC5Yq4W7S1AdBOWOEY9Dk,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:17:10.515726,2026-05-07 06:17:10.515741
12,VfOtDeAxwGkaTe3S-7voBZMJXtXYAzXQwgdRWIiBPFI,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:18:11.770697,2026-05-07 06:18:11.770703
13,Liy8APW2MEN15pSbULQ9B1XQW72x6IuichymvGelzhs,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:19:21.164267,2026-05-07 06:19:21.164273
14,lb3Pokn6a8xh5IPJNM4OxPDDYkxR8ceT9FbSSyEzK6M,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:19:29.753275,2026-05-07 06:19:29.753282
15,Fhz_KNcYUL-BjZxWYBeqDQEgez7te70icL6S_02pkW0,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:19:56.806985,2026-05-07 06:19:56.807001
16,zGMbkqBxlkYHYBx_OEkdIC98LmkL-tUuJQA_nzuFpls,1,testclient,testclient,Desktop,Unknown,,1,2026-05-07 06:20:36.224158,2026-05-07 06:20:36.224165
17,Pmcy83rXo3Omb-ctNfHpAvtv-ut3tRjrMNmpic9YLtE,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.119.0 Chrome/142.0.7444.265 Electron/39.8.8 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:25:05.565375,2026-05-07 06:25:05.565381
18,pCmRL9Zx14c1Ta2gnytu-fX8kdIWcxCzsBd8pbijINU,1,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",Desktop,Chrome,,1,2026-05-07 06:26:05.191088,2026-05-07 06:26:05.191104
