id,user_id,activity_type,activity_details,page_url,ip_address,created_at
1,2,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.279583
2,2,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.279822
3,2,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.280095
4,2,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.280201
5,2,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.280258
6,2,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.280303
7,2,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.280343
8,2,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.280382
9,2,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.280414
10,2,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.280442
11,3,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.280470
12,3,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.280503
13,3,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.280531
14,3,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.280559
15,3,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.280596
16,3,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.280621
17,3,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.280646
18,3,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.280671
19,3,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.280706
20,3,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-22 14:38:22.280742
21,4,login,"{""action"": ""login""}",/,127.0.0.1,2026-05-01 23:38:22.280823
22,4,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-30 22:38:22.280858
23,4,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-29 21:38:22.280894
24,4,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-28 20:38:22.280927
25,4,profile_update,"{""action"": ""profile_update""}",/,127.0.0.1,2026-04-27 19:38:22.280956
26,4,login,"{""action"": ""login""}",/,127.0.0.1,2026-04-26 18:38:22.280985
27,4,view_product,"{""action"": ""view_product""}",/,127.0.0.1,2026-04-25 17:38:22.281018
28,4,add_to_cart,"{""action"": ""add_to_cart""}",/,127.0.0.1,2026-04-24 16:38:22.281046
29,4,place_order,"{""action"": ""place_order""}",/,127.0.0.1,2026-04-23 15:38:22.281074
