date,revenue,orders
2024-01-01,5000,10
2024-01-02,5500,12
2024-01-03,4800,8
2024-01-04,5200,11
2024-01-05,6000,15
2024-01-06,7500,18
2024-01-07,7000,16
2024-01-08,4800,9
2024-01-09,5100,10
2024-01-10,5300,11
2024-01-11,5800,13
2024-01-12,6200,14
2024-01-13,7800,19
2024-01-14,7200,17
2024-01-15,4900,9
2024-01-16,5200,10
2024-01-17,5400,11
2024-01-18,5900,13
2024-01-19,6300,14
2024-01-20,8000,20
2024-01-21,7400,18
2024-01-22,5000,10
2024-01-23,5300,11
2024-01-24,5500,12
2024-01-25,6000,14
2024-01-26,6500,15
2024-01-27,8200,21
2024-01-28,7600,19
2024-01-29,5100,10
2024-01-30,5400,11
2024-01-31,5600,12
2024-02-01,6200,14
2024-02-02,6600,15
2024-02-03,8400,22
2024-02-04,7800,20
2024-02-05,5200,11
2024-02-06,5500,12
2024-02-07,5700,13
2024-02-08,6300,15
2024-02-09,6700,16
2024-02-10,8600,23
2024-02-11,8000,21
2024-02-12,5300,11
2024-02-13,5600,12
2024-02-14,9000,25
2024-02-15,6400,15
2024-02-16,6800,16
2024-02-17,8800,24
2024-02-18,8200,22
2024-02-19,5400,12
2024-02-20,5700,13
2024-02-21,5900,14
2024-02-22,6500,16
2024-02-23,6900,17
2024-02-24,9000,25
2024-02-25,8400,23
2024-02-26,5500,12
2024-02-27,5800,13
2024-02-28,6000,14
2024-02-29,9200,26
2024-03-01,6800,17
2024-03-02,7200,18
2024-03-03,9400,27
2024-03-04,8800,25
2024-03-05,5800,13
2024-03-06,6100,14
2024-03-07,6300,15
2024-03-08,7000,17
2024-03-09,7400,18
2024-03-10,9600,28
2024-03-11,9000,26
2024-03-12,5900,13
2024-03-13,6200,14
2024-03-14,6400,15
2024-03-15,7100,17
2024-03-16,7500,18
2024-03-17,9800,29
2024-03-18,9200,27
2024-03-19,6000,14
2024-03-20,6300,15
2024-03-21,6500,16
2024-03-22,7200,18
2024-03-23,7600,19
2024-03-24,10000,30
2024-03-25,9400,28
2024-03-26,6100,14
2024-03-27,6400,15
2024-03-28,6600,16
2024-03-29,7300,18
2024-03-30,7700,19
2024-03-31,10200,31
